Timestamp(ms),Current(uA)
16092.82,15963.417
16092.83,15444.229
16092.84,15397.078
16092.85,14926.022
16092.86,14831.909
16092.87,14314.865
16092.88,13845.678
16092.89,13892.561
16092.9,13611.390
16092.91,13283.727
16092.92,13049.925
16092.93,12722.943
16092.94,12536.276
16092.95,12489.630
16092.96,12303.125
16092.97,12116.749
16092.98,12070.176
16092.99,11930.504
16093,11651.381
16093.01,11419.000
16093.02,11419.000
16093.03,11372.549
16093.04,11372.549
16093.05,15491.387
16093.06,15821.723
16093.07,15444.229
16093.08,15302.802
16093.09,14737.828
16093.1,14455.779
16093.11,14174.023
16093.12,13939.450
16093.13,13705.080
16093.14,13330.511
16093.15,13143.421
16093.16,12863.029
16093.17,12676.265
16093.18,12536.276
16093.19,12582.931
16093.2,12349.738
16093.21,12023.610
16093.22,11790.906
16093.23,11790.906
16093.24,11558.404
16093.25,11511.928
16093.26,11419.000
16093.27,11186.823
16093.28,10954.850
16093.29,11047.615
16093.3,13658.230
16093.31,15680.101
16093.32,15680.101
16093.33,15208.559
16093.34,14973.092
16093.35,14737.828
16093.36,14267.910
16093.37,13892.561
16093.38,13798.804
16093.39,13564.556
16093.4,13283.727
16093.41,13236.949
16093.42,12769.631
16093.43,12629.594
16093.44,15302.802
16093.45,16625.623
16093.46,16483.588
16093.47,15916.177
16093.48,15632.910
16093.49,15208.559
16093.5,14973.092
16093.51,14643.779
16093.52,14127.093
16093.53,14080.170
16093.54,13845.678
16093.55,13611.390
16093.56,13330.511
16093.57,13049.925
16093.58,12769.631
16093.59,12489.630
16093.6,12256.519
16093.61,12303.125
16093.62,12163.331
16093.63,12023.610
16093.64,11790.906
16093.65,11604.888
16093.66,11419.000
16093.67,11326.105
16093.68,11094.010
16093.69,11047.615
16093.7,10954.850
16093.71,13424.104
16093.72,15632.910
16093.73,15632.910
16093.74,15161.449
16093.75,14973.092
16093.76,14596.768
16093.77,14408.800
16093.78,14033.256
16093.79,13751.938
16093.8,13470.913
16093.81,13377.304
16093.82,13330.511
16093.83,13003.188
16093.84,12769.631
16093.85,13049.925
16093.86,16294.321
16093.87,16530.926
16093.88,16152.456
16093.89,15774.507
16093.9,15397.078
16093.91,14973.092
16093.92,14737.828
16093.93,14220.963
16093.94,13986.349
16093.95,13845.678
16093.96,13611.390
16093.97,13190.181
16093.98,13049.925
16093.99,12863.029
16094,12629.594
16094.01,12442.991
16094.02,12303.125
16094.03,12163.331
16094.04,11977.054
16094.05,11837.431
16094.06,11604.888
16094.07,11511.928
16094.08,11419.000
16094.09,15397.078
16094.1,15821.723
16094.11,15538.553
16094.12,15302.802
16094.13,15114.348
16094.14,14831.909
16094.15,14361.828
16094.16,14033.256
16094.17,13751.938
16094.18,13424.104
16094.19,13190.181
16094.2,13049.925
16094.21,12722.943
16094.22,12676.265
16094.23,12396.361
16094.24,12256.519
16094.25,12116.749
16094.26,11837.431
16094.27,11744.390
16094.28,11558.404
16094.29,11465.460
16094.3,11465.460
16094.31,11279.670
16094.32,11233.243
16094.33,14455.779
